OREGgene_symbol	OREGstrand	OREGtype	OREGexperimental_outcome	OREGdatabase_ID	OREGNCBI
TLX1-LBX1	1	REGULATORY_REGION	NEGATIVE_OUTCOME	OREG0002830	N/A
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
CDC123,CDC123,CDC123,CDC123,CDC123,CDC123,CDC123	1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1270797,OREG1597078,OREG1655406,OREG1239760,OREG1189468,OREG1690032,OREG1934841	18971253,18971253,18971253,18971253,18971253,18971253,18971253
CDC123,CDC123,CDC123,CDC123,CDC123,CDC123,CDC123	1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1270797,OREG1597078,OREG1655406,OREG1239760,OREG1189468,OREG1690032,OREG1934841	18971253,18971253,18971253,18971253,18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
UROS,UROS	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1261149,OREG1705787	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
ANKRD26,ANKRD26,ANKRD26,ANKRD26,ANKRD26,ANKRD26	1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A	OREG1508207,OREG1705429,OREG1946487,OREG1746471,OREG1722538,OREG1551260	18971253,18971253,18971253,18971253,18971253,18971253
RNU6-885P	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1193822	18971253
RNU6-885P	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1193822	18971253
-	-	-	-	-	-
RET,RET	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1540679,OREG1525712	18971253,18971253
RET,RET	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1540679,OREG1525712	18971253,18971253
RET,RET	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1540679,OREG1525712	18971253,18971253
TIMM23B,TIMM23B	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1634133,OREG1575398	18971253,18971253
-	-	-	-	-	-
MBL2,MBL2,MBL2	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1644924,OREG1586486,OREG1231046	18971253,18971253,18971253
MBL2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1231046	18971253
IL2RA,IL2RA	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1248926,OREG1542223	18971253,18971253
IL2RA,IL2RA	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1248926,OREG1542223	18971253,18971253
IL2RA,N/A	1,-1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1248926,OREG0937018	18971253,24194598
IL2RA,N/A	1,-1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1248926,OREG0937018	18971253,24194598
IL2RA,N/A	1,-1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1248926,OREG0937018	18971253,24194598
IL2RA,IL2RA,IL2RA	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1248926,OREG1683187,OREG1704247	18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
PTEN,PTEN,PTEN,PTEN,PTEN	1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A	OREG1249502,OREG1167633,OREG1796365,OREG1777823,OREG1811995	18971253,18971253,18971253,18971253,18971253
PTEN,PTEN,PTEN,PTEN,PTEN,PTEN,PTEN,PTEN	1,1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1249502,OREG1167633,OREG1219405,OREG1609695,OREG1542492,OREG1845338,OREG1811996,OREG1796366	18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253
PTEN,PTEN,PTEN,PTEN,PTEN	1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A	OREG1249502,OREG1167633,OREG1219405,OREG1609695,OREG1811996	18971253,18971253,18971253,18971253,18971253
IL18	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1259277	18971253
HTR3A	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1883283	18971253
SLC37A4	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1499259	18971253
HMBS,HMBS,HMBS,HMBS,HMBS,HMBS,HMBS,HMBS,HMBS,HMBS,HMBS	1,1,1,1,1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1273062,OREG1793716,OREG1808262,OREG1823612,OREG1842593,OREG1303882,OREG1788313,OREG1845282,OREG1553527,OREG1853804,OREG1625645	18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253
NRGN,NRGN,NRGN,NRGN	1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A	OREG1492076,OREG1814103,OREG1779737,OREG1614399	18971253,18971253,18971253,18971253
N/A	1	REGULATORY_REGION	POSITIVE_OUTCOME	OREG0020674	N/A
INS	-1	REGULATORY_REGION	POSITIVE_OUTCOME	OREG0003768	12566409
TH	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1177415	18971253
TH	-1	REGULATORY_REGION	POSITIVE_OUTCOME	OREG0003769	12566409
TH	-1	REGULATORY_REGION	POSITIVE_OUTCOME	OREG0003769	12566409
TH	-1	REGULATORY_REGION	POSITIVE_OUTCOME	OREG0003769	12566409
KCNQ1,KCNQ1,KCNQ1,KCNQ1,KCNQ1	1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A	OREG1890769,OREG1500703,OREG1802440,OREG1705803,OREG1817965	18971253,18971253,18971253,18971253,18971253
-	-	-	-	-	-
HBB,HBB_gene_family	-1,1	REGULATORY_REGION,REGULATORY_REGION	POSITIVE_OUTCOME,POSITIVE_OUTCOME	OREG0003733,OREG0002369	12566409,16024817
HBB,HBB_gene_family	-1,1	REGULATORY_REGION,REGULATORY_REGION	POSITIVE_OUTCOME,POSITIVE_OUTCOME	OREG0003733,OREG0002369	12566409,16024817
HBB,HBB_gene_family	-1,1	REGULATORY_REGION,REGULATORY_REGION	POSITIVE_OUTCOME,POSITIVE_OUTCOME	OREG0003733,OREG0002369	12566409,16024817
HBD,HBB_gene_family	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,REGULATORY_REGION	N/A,POSITIVE_OUTCOME	OREG1232774,OREG0002368	18971253,16024817
HBD,HBB_gene_family,HBD	1,1,-1	TRANSCRIPTION_FACTOR_BINDING_SITE,REGULATORY_REGION,REGULATORY_REGION	N/A,POSITIVE_OUTCOME,POSITIVE_OUTCOME	OREG1232774,OREG0002368,OREG0003734	18971253,16024817,12566409
-	-	-	-	-	-
-	-	-	-	-	-
HBG1	-1	REGULATORY_REGION	POSITIVE_OUTCOME	OREG0003736	12566409
HBG1	-1	REGULATORY_REGION	POSITIVE_OUTCOME	OREG0003736	12566409
HBG1	-1	REGULATORY_REGION	POSITIVE_OUTCOME	OREG0003736	12566409
HBG1	-1	REGULATORY_REGION	POSITIVE_OUTCOME	OREG0003736	12566409
-	-	-	-	-	-
-	-	-	-	-	-
MYEOV,MYEOV,MYEOV,MYEOV,MYEOV,MYEOV,MYEOV,MYEOV	1,1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1193676,OREG1660099,OREG1601793,OREG1906902,OREG1751548,OREG1406538,OREG1515980,OREG1536576	18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253
CCND1	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1518234	18971253
CCND1	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1518234	18971253
UCP2,UCP2,UCP2,UCP2	1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A	OREG1251703,OREG1792033,OREG1813194,OREG1832965	18971253,18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
ATP2A2,ATP2A2,ATP2A2	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1270458,OREG1511216,OREG1189168	18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
ETV6	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1243631	18971253
HNF1A,HNF1A	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1746682,OREG1722753	18971253,18971253
HNF1A,HNF1A	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1746682,OREG1722753	18971253,18971253
RNU6-491P,RNU6-491P,N/A,RNU6-491P,RNU6-491P,GNAI2P1,RNU6-491P,RNU6-491P,ATF7IP	1,1,N/A,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,REGULATORY_REGION,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1250808,OREG1220633,OREG0070518,OREG1797089,OREG1878620,OREG1609008,OREG1778514,OREG1169104,OREG1928116	18971253,18971253,17130149,18971253,18971253,18971253,18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
HOTAIR	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1835221	18971253
STAT6,STAT6	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1823664,OREG1808320	18971253,18971253
-	-	-	-	-	-
METTL1	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1507908	18971253
-	-	-	-	-	-
IRAK3	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1247609	18971253
-	-	-	-	-	-
F7,F7,F7,F7,F7,F7,F7,N/A,F7,N/A	1,1,1,1,1,1,1,1,-1,-1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,REGULATORY_REGION,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,POSITIVE_OUTCOME,N/A,N/A,N/A,N/A,N/A,N/A	OREG1599474,OREG1657764,OREG1191566,OREG0003852,OREG1750196,OREG1726510,OREG1303836,OREG0292707,OREG1754450,OREG0696744	18971253,18971253,18971253,12566409,18971253,18971253,18971253,24194598,18971253,24194598
F7,F7,F7,F7,F7,F7,F7,N/A,F7,N/A	1,1,1,1,1,1,1,1,-1,-1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,REGULATORY_REGION,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,POSITIVE_OUTCOME,N/A,N/A,N/A,N/A,N/A,N/A	OREG1599474,OREG1657764,OREG1191566,OREG0003852,OREG1750196,OREG1726510,OREG1303836,OREG0292707,OREG1754450,OREG0696744	18971253,18971253,18971253,12566409,18971253,18971253,18971253,24194598,18971253,24194598
-	-	-	-	-	-
-	-	-	-	-	-
DACH1	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1277468	18971253
DACH1	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1277468	18971253
-	-	-	-	-	-
-	-	-	-	-	-
SIX6	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1929150	18971253
-	-	-	-	-	-
PSEN1	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1263704	18971253
-	-	-	-	-	-
SCG5,SCG5,SCG5	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1576286,OREG1635001,OREG1701618	18971253,18971253,18971253
BMF,BMF	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1229095,OREG1946177	18971253,18971253
-	-	-	-	-	-
C2CD4A	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1179214	18971253
SMAD3,SMAD3,SMAD3,SMAD3,SMAD3,SMAD3,SMAD3,SMAD3,SMAD3,SMAD3,N/A,N/A,N/A	1,1,1,1,1,1,1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1197309,OREG1910932,OREG1246734,OREG1664206,OREG1605981,OREG1684831,OREG1628643,OREG1541087,OREG1669442,OREG1531518,OREG0723869,OREG0732116,OREG0762724	18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,24194598,24194598,24194598
TBC1D2B	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1609518	18971253
TBC1D2B,TBC1D2B,TBC1D2B	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1609518,OREG1389132,OREG1340580	18971253,18971253,18971253
TBC1D2B	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1609518	18971253
RMI2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1222548	18971253
HBM	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1497938	18971253
ITGAM	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1233449	18971253
-	-	-	-	-	-
TOX3,TOX3,TOX3	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1664560,OREG1606320,OREG1684628	18971253,18971253,18971253
-	-	-	-	-	-
FTO	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1900779	18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
CDH1,CDH1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1747752,OREG1723912	18971253,18971253
-	-	-	-	-	-
